age,experience_years,education_level,hours_per_week,salary
35,4,3,33,78711
27,0,3,54,67369
47,14,2,47,111492
48,8,3,43,96100
24,2,3,30,62330
65,20,4,42,160329
65,13,1,45,101868
50,11,1,32,82714
57,22,5,25,168852
24,1,2,60,58735
52,25,3,42,156334
33,3,5,29,88704
50,9,5,54,134678
24,1,4,45,79510
43,18,1,29,103627
25,0,5,51,93186
27,3,3,23,63409
64,1,3,28,71371
25,3,4,46,85878
49,15,2,38,112073
25,1,4,22,64007
30,3,2,36,59786
62,7,4,42,109023
24,2,3,32,67371
30,1,1,33,39354
52,5,3,23,82117
22,0,4,52,83247
58,1,1,36,50477
59,24,1,32,127491
26,4,5,35,93217
28,2,3,57,83573
55,32,1,45,159465
57,30,1,59,164615
22,0,5,21,73755
31,3,1,42,47234
27,1,2,28,46579
57,6,5,26,114019
32,5,5,38,103054
40,17,5,31,145838
25,1,4,21,72278
49,6,1,24,53761
55,26,1,60,147877
60,37,4,57,225478
38,0,2,58,59746
23,1,3,74,65890
57,20,1,48,120144
44,6,3,55,95474
55,27,2,49,157793
44,8,5,49,123427
60,16,2,34,115966
42,6,3,41,85474
65,8,2,22,79960
34,0,2,57,63183
30,5,4,26,89013
29,0,1,47,46275
33,5,3,42,83694
61,24,1,25,125044
33,11,1,37,76548
39,10,1,49,83099
59,4,2,31,72995
58,21,5,59,176114
52,14,1,57,107693
41,12,5,31,127804
23,1,3,39,61388
65,7,5,55,133053
22,2,1,21,35582
23,0,4,43,73861
57,31,5,58,212480
39,10,2,28,83451
38,17,2,56,122457
22,0,2,42,46384
23,1,3,58,70382
33,6,2,38,76674
44,1,1,22,35513
50,21,5,27,162492
65,5,2,43,84867
25,2,2,56,66986
64,11,4,44,124808
48,17,4,23,133781
37,14,4,37,125700
52,7,4,51,107591
36,0,4,22,66822
63,5,3,30,90151
53,33,4,56,201574
48,12,3,22,100883
62,1,2,53,73032
65,23,4,23,161559
32,12,2,32,87367
57,9,3,43,105139
55,2,5,53,105491
55,2,5,24,93190
31,7,4,42,100329
21,0,4,23,61209
29,8,1,20,60453
34,0,3,41,60946
56,33,2,58,185932
47,10,1,37,74152
36,12,1,46,91433
48,22,1,41,123403
26,1,2,60,61080
57,10,2,36,94612
32,2,1,31,40212
36,13,4,57,134842
51,25,5,58,189038
21,0,4,43,72828
54,19,3,32,134963
60,3,1,34,59670
41,8,1,57,76460
24,0,3,28,58904
51,21,4,42,152238
61,26,2,35,144785
21,0,3,21,54736
54,22,2,42,136693
61,16,1,60,111116
61,14,4,55,139234
30,8,4,32,96718
30,0,3,52,68933
63,10,2,26,90867
22,0,5,51,95594
26,1,3,48,71259
62,13,5,25,135883
45,9,5,52,130235
22,0,4,41,78751
48,3,1,36,52237
53,30,5,50,204351
49,8,1,53,75266
23,2,5,29,85576
25,3,5,59,103061
64,0,5,47,97249
31,12,1,33,73712
54,22,2,24,127762
38,10,3,35,102222
43,20,5,30,152201
33,9,3,57,100683
54,25,2,40,143692
57,30,1,58,158565
24,0,1,37,35523
25,1,5,35,82883
48,3,3,23,69883
44,21,5,33,160744
23,0,1,41,35707
61,8,2,53,97485
42,7,1,47,70058
40,18,2,50,127038
65,6,5,21,114246
38,8,5,45,121434
24,0,2,57,59325
29,5,5,20,95002
41,13,3,21,103653
22,4,3,20,67865
36,3,4,32,83188
43,6,2,27,65627
43,6,5,20,100896
35,6,4,27,89904
57,4,3,60,99676
61,5,3,39,94302
22,1,1,23,30988
43,20,2,54,136705
59,16,1,45,108339
25,2,2,50,66914
61,10,5,56,144923
39,2,4,20,75188
31,8,3,38,93099
29,10,2,39,85238
49,21,5,25,156353
52,10,4,49,123202
51,8,2,38,81061
36,1,4,20,66529
39,15,1,56,102260
58,24,3,59,166086
47,21,2,25,126376
57,32,5,47,210973
60,4,1,23,54704
56,11,1,36,79209
64,6,4,35,99503
28,6,1,26,50221
49,26,5,37,185070
38,6,5,25,104100
39,6,2,32,66549
31,7,4,36,93841
21,0,1,27,33924
64,43,5,49,257811
28,2,3,46,76215
37,5,4,33,94490
21,1,1,38,41141
60,29,4,41,187630
41,8,2,23,77805
21,0,1,32,33221
64,36,5,24,212754
49,11,2,26,89918
44,19,3,38,128986
65,18,3,28,131084
46,3,4,49,97330
35,9,1,55,84068
56,28,3,45,167963
65,31,1,40,162041
34,9,3,31,88246
28,1,3,42,63779
45,6,3,51,93852
50,26,3,58,173785
25,0,5,43,84089
46,12,1,22,77219
51,1,1,22,40461
65,22,5,35,176352
61,37,3,47,206959
25,2,5,51,97210
32,4,3,23,71137
61,8,2,54,100594
45,14,1,34,89551
64,30,4,51,198679
54,1,3,54,80543
38,12,2,29,92908
21,0,5,23,74339
53,3,2,22,58984
22,1,2,35,54635
30,9,5,51,125786
22,2,3,23,62449
28,0,5,56,98768
53,27,1,49,149398
35,5,3,38,78009
29,3,4,48,91373
62,20,5,44,165052
59,5,4,21,93594
54,18,4,25,138866
64,10,3,26,105438
24,3,5,32,90432
21,0,1,21,28322
27,2,1,30,41184
26,0,5,34,85443
64,13,3,53,130275
45,17,3,42,129965
41,15,3,55,124394
28,3,5,40,102549
52,1,2,34,58585
65,14,2,20,99156
40,4,1,28,47614
26,3,4,55,92843
44,17,2,24,111587
65,22,3,58,164018
34,0,4,60,90466
29,7,3,56,91707
63,7,5,35,120973
48,6,1,28,63057
26,5,3,50,89161
48,0,5,20,79802
42,8,2,52,92304
64,41,1,22,180931
30,2,2,31,49629
22,3,2,36,54706
59,8,4,36,109820
61,39,1,41,183117
58,19,5,20,151126
57,39,5,45,230223
37,14,4,60,138426
36,8,1,28,59264
53,28,4,44,183421
28,6,1,57,66391
29,2,2,58,70463
61,6,5,37,115552
48,18,3,28,124368
39,16,3,57,127920
44,7,4,48,110262
45,12,1,55,89493
23,0,4,49,78554
53,26,1,54,148790
41,18,2,44,117393
53,9,2,28,85115
26,2,4,22,75726
25,0,3,30,57441
48,25,3,40,151756
42,17,2,33,109639
25,0,1,44,37578
49,8,1,51,79355
40,12,4,46,118792
32,2,5,22,84159
39,12,3,57,118642
52,16,1,20,89705
45,2,2,34,64080
38,18,4,59,145852
43,17,1,51,107580
63,24,1,20,123452
60,19,3,43,139952
43,8,4,20,96611
57,10,5,37,130248
43,3,3,29,70469
23,0,5,32,83347
62,13,5,54,148653
29,9,1,20,57650
65,4,3,45,93699
47,2,4,28,85561
21,0,3,41,61162
44,15,4,29,128378
44,22,5,23,159654
29,11,4,31,110156
36,9,1,59,84684
39,6,1,29,60277
60,33,4,40,195505
26,2,4,36,80683
34,6,5,32,109547
45,9,1,83,67492
39,9,5,37,120522
63,9,4,48,124924
41,3,1,59,60208
30,1,4,34,78052
44,19,4,57,156042
63,17,5,48,163389
65,25,3,35,155707
61,23,3,48,162208
28,2,4,54,90637
22,1,4,47,75636
29,8,1,20,57730
31,8,1,27,57660
47,1,5,25,88383
22,1,2,42,54330
60,25,3,29,151518
33,7,4,25,94851
47,15,2,29,102413
33,7,5,36,107926
33,10,1,20,62289
29,0,2,47,54714
42,4,4,37,91763
44,2,5,21,91724
80,8,5,25,115209
40,17,5,50,154350
22,0,3,26,49918
44,21,4,50,161836
40,12,2,28,95328
55,31,5,22,195988
32,9,2,43,87385
46,26,1,47,142177
27,4,2,54,74428
22,0,3,41,64684
45,19,2,43,123112
58,6,3,48,93733
35,10,3,42,102233
46,14,2,36,105667
39,5,4,35,92516
32,12,3,26,103037
34,6,5,33,104914
26,5,3,33,74499
27,9,4,21,97536
25,1,5,55,92584
22,2,1,47,45265
63,17,2,20,115515
27,2,4,35,77731
54,28,1,24,141048
51,5,5,28,104377
60,30,2,44,171767
52,4,5,30,98662
62,34,1,56,177644
30,2,4,29,73890
44,2,5,53,104521
45,20,2,31,123560
42,2,2,59,72254
29,3,5,30,89712
65,10,1,45,84387
36,11,3,34,103468
64,16,4,58,148363
57,22,4,23,155147
51,21,2,32,122855
30,5,3,55,90611
21,0,5,37,86343
33,3,5,59,110253
59,9,1,51,80849
64,11,1,34,81825
63,10,2,53,100799
35,10,5,60,131833
62,13,3,24,108475
41,2,2,37,62885
25,3,5,40,98904
63,40,2,31,201249
36,9,1,47,79428
48,4,4,26,91894
45,16,1,46,106259
45,1,1,35,49260
63,20,1,39,122330
58,32,5,27,201354
54,16,3,42,129107
43,8,1,28,67177
60,27,3,25,161127
34,3,1,44,57500
64,3,3,29,78538
25,0,5,28,82987
37,8,2,59,95222
46,11,5,54,135402
61,37,2,20,179311
32,2,3,21,62021
29,0,5,36,84646
25,4,1,21,38870
35,14,2,38,99695
33,7,3,36,85590
29,6,3,52,93398
34,10,5,41,122399
47,21,1,56,127264
55,17,2,60,126856
42,21,4,46,154249
38,9,5,48,129595
54,18,4,57,156377
50,17,4,22,128290
49,1,4,60,99875
22,0,2,45,49811
41,0,1,42,43626
54,12,5,45,139242
41,3,3,22,71639
49,2,1,33,49308
21,0,5,29,83095
25,5,2,25,60167
64,29,4,22,177913
35,12,2,57,106519
37,5,5,44,110501
48,26,2,48,151674
64,11,5,24,129413
35,10,1,54,81886
52,20,2,53,138548
25,0,2,33,48617
64,29,1,46,150985
30,1,1,82,40081
47,4,2,34,69810
23,0,5,24,79485
64,24,2,34,141086
33,4,5,21,88952
34,2,3,26,60610
50,11,5,34,128778
28,3,5,30,96802
29,5,5,28,102682
23,1,5,52,100000
47,2,3,59,81987
65,0,2,50,65109
28,6,5,23,97075
32,1,2,36,54346
63,33,4,34,202854
29,3,1,53,59663
45,14,5,57,148960
43,4,4,52,98221
48,19,4,39,151307
35,3,1,28,45745
34,0,4,51,79171
54,20,1,55,120440
25,0,1,55,41555
57,5,4,58,114815
58,25,2,20,141419
31,11,4,37,115659
35,5,2,40,71551
50,15,5,28,143461
60,8,3,32,97287
24,1,1,35,34512
51,10,4,43,113881
46,8,3,58,101286
35,1,3,25,56251
26,2,2,43,54362
57,14,2,52,111926
41,19,5,59,171660
38,13,2,51,107812
49,16,2,39,108648
51,2,1,60,66876
50,9,2,44,93915
61,9,5,44,133542
46,4,4,60,106870
51,23,5,54,181915
59,11,1,60,99999
30,2,3,38,69376
30,2,3,26,65875
47,3,2,50,76760
37,10,2,54,98299
60,1,4,55,93112
42,1,3,60,77285
61,38,1,30,181469
51,7,4,30,98997
43,18,2,51,119379
31,1,4,57,83452
59,16,5,35,148117
58,7,4,32,108362
27,5,3,24,72249
41,16,5,23,139415
40,9,4,38,114004
23,0,3,35,61902
35,8,3,47,101388
26,7,4,39,101125
32,4,4,60,103344
58,28,2,27,151526
46,15,3,22,116388
48,10,5,32,128987
35,1,4,53,89628
38,13,5,35,135805
25,2,1,48,46423
53,12,3,31,106219
36,2,2,56,63922
52,32,1,50,166422
47,4,3,51,91583
43,14,2,53,110946
28,6,1,60,67362
29,5,3,57,93064
61,30,2,53,172126
44,10,2,44,97352
64,20,1,22,113000
26,1,5,45,87862
49,14,1,60,104361
53,9,1,42,83326
49,18,5,48,155444
62,33,1,20,151583
24,1,5,38,91572
64,34,1,58,173645
37,9,5,32,118204
30,0,5,27,77267
21,0,1,42,37698
48,17,4,55,146367
47,2,3,27,72733
39,12,1,51,93310
57,32,2,54,178358
47,12,1,56,92460
57,1,3,39,73736
63,29,4,44,189131
50,30,2,27,158577
28,1,2,35,55194
44,18,5,50,164177
42,11,2,32,92109
36,11,1,24,67937
32,0,3,55,72802
30,5,5,40,107217
25,2,5,39,91375
23,1,1,41,39900
65,34,4,21,191235
47,9,3,50,104617
58,5,3,39,89389
52,18,2,54,131877
38,11,4,45,120288
40,19,1,30,108883
33,7,2,31,68820
49,9,4,25,105331
51,16,4,49,145617
40,3,1,27,51559
35,5,4,33,93428
25,2,2,34,54732
36,4,5,48,108619
53,12,5,60,143067
65,25,3,27,155375
48,24,2,53,144989
59,3,4,58,99988
44,6,4,29,96556
48,23,1,43,124231
29,5,3,30,77338
37,13,4,42,127417
47,8,2,46,83031
24,5,5,34,96260
60,1,3,23,67582
37,15,1,24,84287
21,1,2,20,45586
87,24,1,52,138599
23,2,5,26,81869
33,8,1,28,58238
49,16,4,21,125448
28,9,3,36,88226
30,2,1,44,48951
58,18,5,32,153532
86,8,3,33,84545
59,33,2,42,178597
52,25,2,40,144498
60,2,1,24,48515
25,2,3,49,71666
40,3,3,51,85171
33,5,3,35,75080
55,14,1,24,83859
22,0,3,25,54554
43,4,1,34,54299
31,8,5,24,104709
51,25,2,44,151626
47,12,4,38,117717
61,20,1,32,111061
59,23,1,26,118791
60,29,1,51,159419
41,11,3,51,111768
22,1,1,58,45589
54,8,3,54,105492
57,32,1,39,161197
31,6,2,21,61015
35,6,2,54,79110
22,3,2,39,58096
56,20,5,45,168710
45,8,3,46,102056
43,22,2,22,127321
54,13,4,45,126817
28,5,2,27,64989
21,0,1,26,34831
39,14,3,26,112279
65,40,5,47,243299
64,12,4,30,125910
43,4,1,58,67730
41,12,2,60,105546
40,6,4,23,88348
53,15,1,20,84107
54,4,1,32,56084
34,0,3,56,73591
24,0,4,34,67784
46,20,2,20,113246
29,1,1,59,53424
36,9,5,56,132682
26,2,2,40,57260
32,8,1,31,68251
60,28,2,47,163679
24,6,1,37,57893
42,19,5,33,151155
46,26,5,55,190617
39,13,2,34,101674
22,1,2,21,47723
43,8,3,34,97534
54,11,3,49,115918
33,12,3,28,98043
55,30,2,35,164449
59,37,5,42,226444
33,8,4,31,103381
39,17,2,22,106194
41,21,4,37,151532
45,18,1,38,102624
37,12,1,26,78711
54,7,4,33,106933
23,0,2,30,41604
34,7,2,20,64404
64,9,1,27,75882
26,2,4,20,71989
36,2,4,51,91820
59,1,5,48,106777
41,17,4,22,125621
61,2,5,48,109536
40,15,3,49,119357
40,0,5,36,89590
33,2,2,38,61150
40,2,5,44,100169
55,11,1,33,86688
59,21,4,28,154588
25,2,3,26,62461
41,12,3,35,108737
36,2,1,41,45646
27,4,1,23,39880
56,16,3,59,140425
24,1,4,31,73847
60,29,3,21,165421
30,1,2,22,48387
58,39,5,53,239496
61,14,5,41,144355
56,2,3,46,84383
30,3,1,37,50900
21,2,2,30,53120
38,17,4,29,134799
57,34,5,47,217340
49,4,4,25,90337
62,39,1,44,186445
26,3,5,58,105358
53,23,4,24,155221
65,42,4,26,229157
30,5,1,23,46611
43,16,4,46,140392
34,5,4,23,84552
41,13,3,31,110585
37,1,1,35,46988
56,25,2,51,149798
62,39,1,42,184571
40,16,2,31,105046
45,12,3,32,107699
47,6,2,43,81826
35,9,3,33,95637
46,8,4,58,112574
25,0,3,26,56761
55,5,5,27,106252
21,0,3,56,64912
38,13,5,23,131312
43,11,1,41,84408
39,10,4,52,122734
40,16,4,26,129397
51,8,1,42,71902
38,1,2,35,53540
31,0,1,25,29966
30,1,5,60,97850
29,7,3,52,89697
26,2,3,60,80765
65,45,2,53,230293
63,8,3,60,112531
31,1,3,26,60239
59,34,3,45,196119
52,20,4,34,152320
60,34,5,38,212134
27,1,1,56,49405
62,12,5,20,134172
63,35,5,36,220929
56,18,3,31,129017
51,11,5,60,138550
22,0,1,43,43537
34,9,2,39,82411
53,7,1,44,77606
45,1,2,21,54976
50,8,2,31,83282
37,10,2,41,91729
65,22,5,25,170618
60,23,4,25,159855
30,2,4,20,68474
37,6,3,60,98385
35,11,3,40,98883
32,10,5,25,116887
61,12,3,41,112584
27,0,5,45,84906
29,10,2,27,76788
44,12,2,28,93839
49,17,1,24,97443
40,15,4,31,122456
62,41,3,58,225185
28,4,4,35,81735
62,9,4,55,120765
54,10,4,37,121182
65,29,4,33,183067
27,3,2,60,75238
52,21,2,57,138706
30,5,1,37,54385
35,6,1,33,55627
60,38,1,33,183020
58,20,2,48,138064
36,12,4,41,121158
24,0,2,51,58812
50,17,2,21,109155
56,10,5,47,130074
33,0,3,47,71429
23,0,5,43,87095
29,1,3,24,59566
22,0,2,59,59561
53,10,5,24,117349
23,4,3,38,72355
21,0,2,43,54648
29,3,4,34,84032
25,1,1,57,54918
26,4,1,36,48606
33,7,1,55,76452
52,13,5,25,131148
36,8,4,54,112204
48,3,3,32,70671
23,1,1,29,32387
33,9,5,52,125854
30,5,4,34,87565
47,11,4,54,128277
39,6,1,46,70929
65,33,1,43,163360
40,19,1,52,113032
34,5,1,59,71355
30,4,2,20,58731
48,9,5,34,117126
47,13,2,42,99271
29,4,1,30,51835
26,0,3,41,62743
64,21,3,49,149355
49,20,5,55,173663
65,26,2,25,145154
40,12,4,37,121002
57,4,5,36,108706
64,34,1,21,154495
52,6,2,36,80871
34,5,1,47,63774
31,4,5,24,89030
54,31,1,39,152270
38,5,5,52,112071
27,2,4,51,84577
54,16,1,31,102369
64,19,4,51,160749
29,1,2,55,57468
54,9,3,44,105924
61,39,3,27,199933
37,3,3,40,73681
44,0,3,45,67106
65,41,4,38,227098
48,13,1,28,80819
32,13,1,43,87395
45,7,2,24,72262
47,5,2,54,79678
32,7,4,36,101042
39,12,4,57,132639
38,1,4,22,72562
46,14,3,31,109848
43,22,5,33,165560
25,2,3,57,80017
29,4,2,29,56868
32,6,5,25,97789
62,23,5,29,175323
54,32,3,21,174279
40,4,2,25,63160
36,5,1,59,68251
42,8,2,35,83510
40,11,3,31,105368
43,5,4,38,96811
38,6,1,48,66450
61,22,5,53,182905
49,14,1,57,101208
23,3,3,35,73324
39,18,4,50,147386
56,4,2,57,78243
24,2,4,60,89691
23,0,3,43,61136
28,6,1,34,59243
28,0,1,46,46174
52,31,3,47,178600
45,14,3,54,122798
42,6,2,34,69161
24,3,5,48,104917
30,1,1,27,39222
40,16,3,48,122994
24,3,3,49,74498
52,10,3,26,97451
43,20,1,34,109511
58,7,3,28,91848
60,38,5,56,236483
39,16,3,36,122804
57,35,2,33,183407
53,9,2,58,101279
53,10,1,31,78638
30,7,3,34,83787
47,16,1,43,106688
38,17,4,50,140575
50,27,1,43,143872
45,0,5,53,95662
58,26,1,27,136606
29,5,5,25,99659
62,26,4,53,186417
24,6,3,48,87955
39,4,5,53,115269
27,9,5,52,126267
52,21,2,24,125268
37,9,5,50,127696
30,2,5,54,96821
27,4,3,31,76539
50,0,3,54,80013
33,6,2,34,72330
64,5,4,50,112476
47,19,3,51,135823
26,2,4,40,86120
49,6,3,58,95470
32,5,3,53,91218
57,28,4,53,184041
50,15,1,60,112319
42,14,3,41,119178
22,0,2,46,53127
54,16,2,31,106280
50,23,3,51,154004
38,17,5,41,147497
65,24,1,46,137322
35,13,2,39,98582
53,15,2,48,117299
82,36,2,51,188448
35,12,1,28,80461
59,39,5,60,246851
34,6,2,42,79721
53,21,5,44,172255
62,26,3,46,170185
45,9,5,52,130723
43,4,5,36,102644
35,13,2,43,101626
32,6,2,22,60164
46,13,5,51,142689
34,10,2,25,77128
26,0,2,38,51782
63,16,5,37,150531
48,1,5,39,96986
52,16,5,24,140011
52,21,2,33,129773
42,7,3,41,87789
45,21,4,53,156246
38,3,2,50,66741
22,3,2,47,64793
42,5,2,53,75646
31,8,2,60,88970
65,41,5,55,251082
35,17,3,55,127701
42,4,5,57,116349
52,21,2,32,131241
34,5,5,21,100624
21,0,4,47,73276
48,12,2,32,96544
34,4,2,29,63563
56,13,3,57,128515
26,1,2,53,57848
35,10,4,30,109328
59,20,3,50,149556
60,36,1,21,165159
33,4,3,59,83248
51,0,3,54,72995
21,0,2,60,59487
37,8,5,27,112469
53,4,1,30,52422
22,0,4,30,64726
33,3,4,51,97519
34,13,5,51,135881
32,8,3,43,92703
35,11,4,21,101426
46,11,3,28,96949
49,9,2,42,88488
58,7,4,48,110791
55,16,1,32,97241
55,17,5,25,152170
61,2,2,31,59892
27,2,4,45,81434
31,1,5,39,87469
36,9,1,26,63840
65,0,5,48,99076
43,7,1,35,64444
23,3,1,47,55672
51,15,3,45,129529
59,3,3,25,72509
57,16,2,60,129952
21,0,3,33,56068
42,13,5,46,140328
46,20,3,25,135540
65,10,1,31,84764
27,1,2,38,50614
52,21,1,52,122433
37,5,1,43,59949
28,1,5,42,96425
42,13,1,47,95885
28,0,2,56,63038
41,11,2,37,89887
61,6,4,50,113162
45,2,5,59,109270
62,17,4,55,152864
25,0,1,21,31556
63,36,5,27,221469
35,0,4,35,78678
56,15,2,30,108468
43,23,1,53,131648
30,4,3,38,76526
33,8,2,43,85797
46,4,1,25,48380
31,3,2,22,54749
56,19,5,31,159583
58,9,1,26,71235
34,14,3,56,125849
29,7,2,30,67616
49,9,4,46,113352
49,2,3,24,64454
27,1,3,44,67435
46,7,2,49,83025
32,7,4,27,97584
40,3,2,44,67917
57,24,1,53,141739
32,1,5,57,98782
37,2,5,29,93559
50,4,5,55,119830
49,12,5,23,129771
23,1,4,49,82328
26,6,2,31,70139
33,11,5,25,118557
61,15,1,46,108631
38,19,3,24,128320
57,28,1,28,139850
57,3,2,20,56568
57,14,4,32,132970
31,2,4,54,90363
47,6,3,41,89068
56,9,5,41,124216
58,17,5,21,150327
61,14,2,48,114157
36,8,2,56,90322
58,32,5,47,208562
30,7,2,53,82784
44,22,5,26,161353
28,9,4,29,102854
24,3,4,32,78178
44,2,3,56,80155
51,26,4,57,180897
40,1,2,47,60918
43,11,4,26,114457
54,7,2,21,76642
59,35,5,45,219793
