area,Year,Rooms,Location,Floor,Price
120,1401,3, Chitgar,16,306000000
94,1376,2, Kuy-e Ferdows,0,760000000
87,1400,2, Darian-e No,5,934000000
80,1391,2, Heravi,3,880000000
100,1402,2, Daryacheh Shahidaye Khalij-e Fars,9,280000000
165,1400,3, Zaferanieh,3,4800000000
53,1396,1, Jeyhun,4,32000000
155,1396,3, Saadat Abad,2,310000000
64,1393,1, Doctor Houshiar,1,450000000
358,1395,4, Niavaran,9,8100000000
85,1381,2, Sadeghiyeh,2,745000000
63,1389,2, Jeyhun,1,4000000000
200,1385,3, Velenjak,9,310000000
100,1401,2, Chitgar,15,280000000
100,1401,2, Chitgar,10,280000000
67,1389,1, Kuy-e Ferdows,3,730000000
132,1402,3, Saadat Abad,5,33000000000
148,1400,3, Saadat Abad,2,2800000000
48,1402,1, Azarbayjan,1,3905000000
114,1402,2, Saadat Abad,6,18080000000
155,1384,3, Daroos,2,210000000
110,1401,2, Sohrevardi,4,1.43E+11
125,1400,3, Mobarakeh-ye Besheti,4,3125000000
130,1401,2, Ghoba,4,1800000000
86,1382,2, Tehran-e No,2,516000000
79,1401,2, Azarbayjan,4,750000000
110,1401,2, Daroos,3,18700000000
148,1402,2, JorDan,2,2880000000
44,1383,1, Marzdaran,2,4488000000
400,1389,4, Niavaran,3,78650000000
88,1386,2, Shahrak Rah-Ahan,0,840000000
135,1378,3, Sadeghiyeh,3,100000000
77,1400,2, Andisheh (Shahr-e Ziba),1,705000000
150,1401,3, Niavaran,1,2600000000
138,1402,3, Daryacheh Shahidaye Khalij-e Fars,6,2250000000
42,1384,1, Ostad Moein,3,265000000
100,1381,2, Darband,0,1000000000
101,1401,2, Heravi,4,1320000000
120,1385,2, Eghtesadiyeh,2,1560000000
115,1390,3, Qeytariyeh,3,2000000000
125,1382,3, Qeytariyeh,4,1450000000
106,1402,2, Darb-e Dovom,3,1890000000
182,1395,3, Sharif,0,1820000000
140,1398,3, Koohak,7,1000000000
63,1400,2, Jeyhun,1,43000000000
110,1394,2, Marzdaran,3,13800000000
66,1389,1, Khalij Fars,0,328000000
49,1382,1, Hashemi,0,310000000
73,1399,2, Doctor Houshiar,1,5290000000
80,1386,2, Sazman Ab,1,745000000
120,1401,2, Chitgar,1,336000000
70,1402,1, Sazman Barname,5,755000000
73,1399,2, Jeyhun,1,528500000
200,1401,3, Pasdaran,10,2450000000
130,1402,3, Sarv Azad,0,920000000
170,1402,3, Saadat Abad,8,5593000000
82,1401,2, Sadeghiyeh,2,866000000
54,1385,2, Enqelab Square,0,351000000
107,1402,2, Pasdaran,10,1350000000
105,1398,2, Tehran Sar,0,830000000
85,1402,2, Chitgar,9,765000000
180,1401,3, Pasdaran,9,2088000000
155,1388,3, Saadat Abad,2,2650000000
76,1388,2, Afsariyeh,0,40000000000
150,1394,3, Saadat Abad,2,2450000000
201,1387,3, Saadat Abad,2,3800000000
120,1399,3, Setareh Khan,0,1520000000
101,1401,2, Martyrs of Persian Gulf Lake,20,20000000
160,1402,3, Poonak,2,1910000000
142,1400,3, Saadat Abad,4,2670000000
118,1402,3, Narmak,4,2250000000
125,1385,3, Mirdamad,2,1625000000
100,1401,2, Chitgar,15,175000000
102,1402,2, Chitgar,13,175000000
130,1386,2, Poonak,1,1060000000
129,1401,2, Mobarakeh-ye Bahshti,4,387000000
140,1401,3, Mobarakeh Baheshti,3,420000000
87,1386,2, Ferdows Avenue,3,880000000
720,1396,4, Farmanieh,11,14500000000
76,1400,1, Aseman,1,960000000
52,1398,1, Salsabil,1,353000000
82,1401,2, Tajrish,2,1200000000
117,1401,2, Chitgar,11,936000000
77,1395,2, Marzdaran,5,900000000
150,1401,3, Shahrak-e Gharb,7,3700000000
75,1383,2, Pounak,3,740000000
120,1385,2, Saadat Abad,5,2100000000
70,1401,1, Elahiyeh,1,2300000000
50,1394,1, Doulab,2,590000000
145,1380,3, Pounak,1,2800000000
120,1401,2, Shadmehr,4,12590000000
122,1391,3, Chitgar,3,650000000
250,1401,3, Niavaran,6,85000000000
75,1397,2, Mobarakeh Baheshti,3,18750000000
110,1370,2, Jahad,2,880000000
210,1380,3, Qeytarieh,4,24350000000
128,1391,2, Bagh-e Khazaneh,5,6848000000
100,1397,2, Shahran North,4,11000000000
125,1401,2, Daryacheh Shahidaye Khalij Fars,3,7850000000
150,1402,3, Chitgar,9,999999999
210,1401,2, Elahiyeh,5,45500000000
75,1388,2, Niru Havaii,3,500000000
70,1392,2, Mobarakeh Baheshti,1,230000000
55,1398,1, Mobarakeh Baheshti,1,170500000
113,1395,2, Marzdaran,2,1480000000
56,1387,1, Fallah,4,2632000000
100,1402,2, Monirieh,6,9900000000
142,1388,3, Saadat Abad,2,1810000000
60,1398,2, Andisheh (Shahr-e Ziba),2,2000000000
65,1402,2, Monirieh,1,6500000000
95,1394,2, Jannat Abad Markazi,3,10050000000
125,1396,3, Pasdaran,3,17600000000
135,1398,2, Dehghan,0,12300000000
100,1377,2, Saadat Abad,1,12999990909
154,1390,3, Darous,3,2100000000
55,1387,1, Jannat Abad Markazi,5,5400000000
102,1388,2, Qolhak,5,12000000000
155,1383,3, Zafar,4,16000000000
109,1393,2, Marzdaran,1,16000000000
110,1402,2, Bagh-e Feiz,3,13750000000
185,1402,3, Kashanak,6,25500000000
64,1402,1, Marzdaran,3,8400000000
77,1389,2, Marzdaran,2,10450000000
313,1386,4, Darous,5,51500000000
125,1397,2, Monirieh,5,10450000000
250,1400,3, Deroos,4,50000000000
67,1389,1, Plan and Budget Organization,1,5705000000
120,1385,2, Ekhtiyariyeh,1,1300000000
130,1402,3, Sohravardi,4,1400000000
115,1401,2, Heravi,30,1375000000
115,1396,3, Poonak,4,123000000
143,1402,3, Shahrak-e Gharb,2,2700000000
101,1383,2, Saadat Abad,1,1290000000
115,1382,2, Shahrak-e Gharb,2,1650000000
50,1386,1, Kooy-e Ferdows,0,540000000
110,1388,2, Kamraniyeh,4,1850000000
140,1401,3, Martyrs of Persian Gulf Lake,14,392000000
72,1400,2, Andisheh (Shahr-e Ziba),4,280000000
115,1385,2, Ekhtiyariyeh,5,1350000000
66,1385,2, Kooy-e Ferdows,5,790000000
312,1398,4, Farmaniyeh,3,94000000000
165,1395,3, Marzdaran,4,26600000000
112,1402,2, Sarv Azad,0,10000000000
124,1397,3, Martyrs of Persian Gulf Lake,5,1170000000
110,1401,2, Sarv Azad,0,11000000000
170,1401,3, Niyavaran,2,38000000000
132,1391,3, Hovaniruz,0,12000000000
58,1394,1, Kerman,0,499999999
131,1401,2, Pasdaran,10,15800000000
48,1385,1, Kooy-e Ferdows,4,4550000000
98,1398,3, Mobarakeh-ye Bahshti,5,2945000000
102,1401,2, Ekhtiyariyeh,4,2.04E+11
74,1388,2, Jannat Abad-e Jonubi,2,668000000
66,1382,2, Iran,0,5800000000
118,1380,2, Jardan,3,16000000000
85,1370,2, Shemshiri,0,450000000
66,1399,2, Shahrak-e Takhti,3,22410000000
150,1402,3, Marzdaran,0,17600000000
120,1370,3, Shahr-e Ziba,0,7700000000
106,1381,2, Sadeghiyeh,0,9222000000
52,1401,1, Hashemabad,3,1716000000
93,1402,2, Jannat Abad-e Jonubi,3,13480000000
72,1387,2, Zahire Abad,0,4320000000
160,1395,3, Heravi,1,20710000000
60,1385,1, Ahang,0,30000000000
53,1385,1, Kooy-e Ferdows,3,5500000000
81,1401,2, Mobarakeh-ye Bahshti,3,26325000000
155,1401,3, Jannat Abad-e Jonubi,2,24500000000
290,1401,4, Poonak,4,55000000000
62,1394,1, Azgal,4,8200000000
92,1393,2, Jannat Abad-e Markazi,3,12050000000
133,1394,3, Jannat Abad-e Jonubi,5,17000000000
67,1392,1, Ji,1,3486000000
185,1394,3, Shahrak-e Zhandarmeri,3,33200000000
165,1379,3, Shahrak-e Gharb,4,21000000000
90,1396,2, Jannat Abad Shomali,3,920000000
100,1370,1, Piroozi,0,620000000
178,1380,3, Jordan,6,2050000000
150,1402,3, Jordan,1,2800000000
200,1402,3, Pasdaran,16,24000000000
168,1381,3, Jordan,4,222000000
225,1385,3, Amanieh,5,2540000000
140,1395,3, Shahrak-e Parvaz,2,176000000
112,1391,2, Bagh-e Feyz,3,1254400000
270,1388,4, Velenjak,5,5600000000
110,1402,2, Jannat Abad Jonoubi,3,116800000
105,1393,3, Shahr-e Shomali,4,114000000
136,1388,3, Ferdows Blvd,3,139000000
154,1383,3, Ferdows Blvd,2,115500000
115,1384,2, Heravi,1,127000000
104,1393,2, Jannat Abad Markazi,1,1220000000
214,1402,3, Jordan,1,4700000000
130,1398,3, Heravi,5,1820000000
98,1390,2, Jannat Abad Jonoubi,4,118000000
105,1385,2, Saadat Abad,4,1300000000
110,1390,2, Heravi,5,12900000000
212,1385,3, Pasdaran,4,29000000000
85,1395,2, Poonak,4,760000000
88,1401,2, Kashanak,3,14500000000
127,1401,2, Azgal,2,21300000000
140,1401,3, Saadat Abad,5,23500000000
180,1388,3, Zaferanieh,3,28000000000
135,1395,3, Jannat Abad Shomali,1,13000000000
120,1395,3, Sohravardi,1,13250000000
55,1388,1, Kooy-e Ferdows,2,5950000000
72,1378,2, Bagh-e Feiz,3,5720000000
116,1390,3, Abshar-e Tehran,7,82500000000
89,1386,2, Shahran Shomali,2,6650000000
180,1385,3, Saadat Abad,11,30600000000
98,1397,2, Jannat Abad Jonubi,5,11200000000
47,1389,1, Salsabil,1,2800000000
130,1380,2, Elahiyeh,1,23900000000
100,1401,2, Marzdaran,3,14500000000
114,1395,3, Abshar-e Tehran,4,8050000000
115,1382,2, Shahrak-e Gharb,1,13400000000
75,1384,2, Jannat Abad Markazi,5,7800000000
139,1402,3, Ostad Moien,4,11850000000
20,1400,1, Martyrs of Persian Gulf Lake,21,600000000
60,1388,2, Poonak,5,6300000000
230,1396,3, Saadat Abad,1,50000000000
73,1395,2, Shahran Jonubi,3,700000000
125,1392,3, Saadat Abad,5,17500000000
78,1398,2, Jannat Abad Jonubi,5,10000000000
76,1397,2, Jannat Abad Markazi,5,8150000000
172,1400,3, Saadat Abad,5,45000000000
84,1384,2, Poonak,1,790000000
65,1380,2, Afsariyeh,0,3900000000
375,1400,4, Mahmoudieh,2,9.3E+11
150,1385,3, Mirdamad,2,18000000000
130,1401,3, Moqadam,0,6500000000
194,1401,3, Pasdaran,11,22310000000
225,1387,3, Zaferanieh,6,44000000000
170,1401,3, Velenjak,6,39000000000
113,1397,2, Plan and Budget Organization,3,15820000000
118,1402,2, Martyrs of Persian Gulf Lake,25,8500000000
61,1387,2, Molavi,0,1900000000
93,1385,2, Plan and Budget Organization,3,10200000000
72,1386,2, Plan and Budget Organization,1,7100000000
245,1388,4, Farmaniyeh,5,47000000000
125,1384,3, Kooy-e Ferdows,3,12800000000
88,1385,2, Jannat Abad Jonubi,2,70890000000
48,1383,1, Jihun,0,2800000000
68,1385,2, Poonak,3,6100000000
90,1402,2, Chitgar,12,9900000000
61,1387,1, Poonak,2,6000000000
75,1386,2, Jannat Abad Markazi,4,5750000000
130,1380,3, Pasdaran,2,20000000000
101,1402,2, Chitgar,11,808000000
47,1385,1, Jihun,0,280000000
320,1394,3, Sarv Azad,0,14800000000
74,1399,2, Piroozi,0,5850000000
74,1385,2, Poonak,1,630000000
100,1401,2, Air Force,3,13000000000
150,1401,3, Air Force,4,15000000000
150,1397,3, Shahrak-e Rah-Ahan,2,1.42E+11
50,1400,1, Jihun,4,340000000
115,1402,2, Sarv Azad,23,425000000
85,1402,2, Air Force,1,980000000
240,1402,3, Farmanieh,6,63000000000
110,1402,2, Marzdaran,4,12900000000
88,1390,1, Baharestan,0,1848000000
53,1393,1, Safa,0,2970000000
160,1401,3, Shahrak-e Gharb,2,41600000000
153,1399,3, Ararat,2,2600000000
50,1376,1, Haft Chenar,1,280000000
155,1390,3, Mirdamad,3,17000000000
140,1395,2, Ekhtiyarieh,2,18200000000
90,1383,2, Abazar,2,8800000000
50,1391,1, Khaniabad Now,0,2500000000
200,1402,3, Zaferanieh,5,90000000000
62,1395,1, Dolab,0,3350000000
57,1385,2, Tehran Sar,2,33300000000
127,1398,3, Persian Gulf Martyrs Lake,14,16000000000
53,1386,1, Molavi,0,2150000000
55,1387,1, Shahr Ziba,4,5250000000
90,1397,2, Shahran Jonoubi,1,8500000000
80,1386,2, Shahr Ziba,4,7450000000
159,1398,3, Olympic Village,3,17800000000
235,1400,3, Qeytariyeh,3,56000000000
112,1396,2, Jannat Abad Jonoubi,3,14500000000
110,1402,2, Pasdaran,11,14000000000
44,1385,1, Azerbaijan,2,39900000000
89,1388,2, Shamsabad,1,10650000000
149,1391,3, Shahr Ziba,1,11500000000
112,1402,2, Chitgar,0,7850000000
85,1402,2, Persian Gulf Martyrs Lake,12,12750000000
200,1392,3, Door Two,1,35500000000
140,1393,3, Jannat Abad Jonoubi,5,18200000000
85,1390,2, Saadat Abad,4,12700000000
55,1387,1, Jeyhoon,2,3500000000
116,1401,2, Pasdaran,8,14500000000
120,1402,2, Jannat Abad Jonoubi,3,17500000000
111,1396,2, Shahrak-e Gharb,1,24200000000
65,1385,1, Poonak,1,5700000000
95,1402,2, Beryanak,3,6200000000
122,1401,3, Ji,3,7503000000
142,1397,2, Argentina,0,21300000000
62,1398,2, Mobarakeh-ye Beheshti,1,1800000000
207,1388,3, Velenjak,3,33000000000
35,1398,1, Ajoudanieh,3,27000000000
138,1398,2, Velenjak,3,19000000000
53,1392,1, Lashkar,1,3550000000
100,1400,2, Mobarakeh-ye Beheshti,2,33000000000
84,1384,2, Iran,4,47000000000
41,1376,0, Beryanak,0,16100000000
188,1402,3, Zaferanieh,3,5.3E+11
345,1395,4, Saadat Abad,6,6.5E+11
118,1386,3, Sohravardi,4,14500000000
137,1400,2, Jorq,4,21500000000
105,1400,2, Darband,2,13500000000
43,1393,1, Lashkar,2,2830000000
86,1394,2, Jannat Abad Markazi,2,10500000000
63,1383,2, Jannat Abad Markazi,2,6610000000
202,1402,3, Saadat Abad,5,4E+12
235,1402,3, Saadat Abad,4,7E+11
165,1402,3, Persian Gulf Martyrs Lake,12,11500000000
106,1402,2, Ostad Moein,3,8160000000
235,1401,3, Koohak,19,30550000000
240,1395,3, Daroos,3,48000000000
190,1384,3, Daroos,2,31000000000
93,1393,2, Daroos,0,17650000000
160,1397,3, Saadat Abad,2,2.6999E+11
130,1398,2, Persian Gulf Martyrs Lake,19,14500000000
122,1385,2, Pasdaran,2,14000000000
250,1402,4, Persian Gulf Martyrs Lake,18,5500000000
150,1401,3, Saadat Abad,5,3E+13
61,1382,1, Ghonat Koosar,0,4500000000
92,1381,2, Abazar,3,6500000000
70,1392,1, Na'mat Abad,0,24500000000
47,1397,1, Jeyhoon,1,3120000000
72,1391,2, Tehranpars Sharqi,5,51000000000
140,1397,3, Daroos,2,24800000000
96,1397,2, Zanjan,1,63500000000
115,1402,3, Dilman,3,9.3E+11
88,1392,2, Azgol,3,21000000000
58,1383,2, Kuy-e Ferdows,0,5650000000
54,1381,1, Kuy-e Ferdows,0,4800000000
57,1387,1, Sazman-e Barnama,0,5200000000
67,1402,1, Poonak,3,8980000000
73,1400,2, Farmanieh,2,11500000000
114,1400,2, Sohanak,2,14800000000
85,1400,2, Hakimiyeh,0,105000000
120,1394,2, Persian Gulf Martyrs Lake,0,83000000
60,1377,1, Khani Abad-e Now,0,58000000
176,1400,3, Marzdaran,3,33000000000
116,1386,3, Shahran-e Jonubi,5,1220000000
82,1380,2, Azerbaijan,1,42500000
128,1392,3, Ivanak,3,218000000
107,1393,2, Poonak,5,126000000
75,1388,2, Afsarieh,0,45000000
50,1382,1, Ji,3,285000000
182,1400,3, Jannat Abad Markazi,3,228000000
68,1380,2, Poonak,0,63000000
260,1384,4, Farmanieh,6,3800000000
46,1395,1, Jeyhoon,4,310000000
106,1400,2, Persian Gulf Martyrs Lake,7,1060000000
78,1385,2, Kuy-e Ferdows,1,79500000
98,1395,2, Jannat Abad Jonubi,3,960000000
53,1376,1, Tehranpars Sharqi,0,42500000
168,1370,2, Abbas Abad,0,1650000000
170,1397,3, Niavaran,1,420000000
79,1393,2, Kuy-e Ferdows,4,80000000
88,1385,2, Shahrek-e Parvaz,4,70000000
140,1396,2, Shahrek-e Shahid Baqeri,3,973000000
225,1388,3, Zaferanieh,6,52875000000
54,1380,1, Jeyhoon,1,360000000
96,1389,2, Poonak,1,99000000
148,1401,3, Salsabil,0,120000000
130,1386,2, Qeytarieh,5,1780000000
185,1385,3, Vanak,5,20350000000
335,1395,4, Elahieh,24,84000000000
109,1379,2, Zafar,2,1220000000
40,1388,1, Masoudieh,0,25000000
65,1402,2, Abshar,10,25000000
85,1380,2, Eqdasiyeh,0,82000000
115,1395,2, Zaferanieh,4,3E+12
185,1401,3, Zaferanieh,5,45000000000
95,1398,2, Narmak,1,110000000
53,1396,2, Andisheh (Shahr-e Ziba),1,190000000
116,1392,2, Saadat Abad,2,1400000000
56,1391,1, Imamzadeh Hasan (A),4,395000000
139,1402,3, Poonak,5,2300000000
118,1401,2, Mirdamad,2,1950000000
80,1389,2, Shahrara,2,87500000
217,1399,3, Zaferanieh,4,8800000000
80,1402,2, Jomhouri,4,360000000
318,1385,3, Elahieh,6,6200000000
124,1387,2, Iran,0,840000000
75,1395,2, Marzdaran,4,890000000
105,1399,2, Zafar,5,162750000
155,1402,3, Kuy-e Faraz,1,2700000000
95,1395,2, Niavaran,1,155000000
80,1402,2, Khwajeh Nazam Al-Molk,4,630000000
36,1397,0, Azerbaijan,1,250000001
93,1400,2, Mobarakeh-ye Beheshti,3,290000000
80,1402,2, Jomhouri,4,360000000
70,1386,2, Sattarkhan,6,760000000
115,1395,2, Marzdaran,4,14560000000
180,1399,3, Velenjak,5,410000000
220,1370,4, Keshavarz Boulevard,2,1320000000
51,1395,1, Jeyhoon,4,330000000
77,1377,2, 13th Aban,0,320000000
123,1402,2, Pasdaran,12,1600000000
55,1390,1, Vardavard,0,30000000000
380,1399,3, Zaferanieh,8,1E+11
95,1402,2, Naziaabad,0,81000000
320,1397,3, Zaferanieh,2,50000000000
130,1388,2, Velenjak,10,2000000000
42,1380,1, Beryanak,2,225000000
68,1394,2, Andisheh (Shahr-e Ziba),0,180000000
40,1382,1, Piroozi,1,253000000
82,1382,2, Kuy-e Ferdows,4,750000000
101,1397,2, Kuy-e Ferdows,2,111000000
59,1391,2, Andisheh (Shahr-e Ziba),2,195000000
243,1392,3, Zaferanieh,9,6000000000
219,1397,3, Pasdaran,4,4110000000
370,1397,4, Pasdaran,4,90000000000
270,1397,4, Pasdaran,4,4850000000
63,1387,1, Naziaabad,0,350000000
50,1382,1, Amirabad,2,490000000
69,1394,2, Haft Chenar,1,470000000
240,1402,3, Farmanieh,22,5250000000
113,1394,2, Jannat Abad Markazi,3,1250000000
160,1401,3, Pasdaran,3,2880000000
127,1390,2, Abshar Tehran,4,775000000
180,1402,3, Pasdaran,4,44000000000
194,1402,3, Pasdaran,9,22310000000
110,1389,2, Velenjak,5,1880000000
42,1397,1, Khazaneh,1,214500000
67,1394,2, Andisheh (Shahr-e Ziba),2,337000000
170,1398,3, Mirdamad,4,2700000000
255,1385,4, Farmanieh,5,3800000000
200,1401,3, Zaferanieh,2,6000000000
181,1392,3, Pasdaran,3,2900000000
183,1392,3, Niavaran,2,3348500000
110,1401,2, Pasdaran,7,1400000000
270,1396,3, Niavaran,6,62000000000
40,1402,1, Sabalan,2,282000000
67,1385,2, Shahrek-e Shahid Baqeri,4,510000000
125,1391,3, Sarv Azad,3,950000000
76,1396,1, Heravi,2,980000000
102,1385,2, Shahran Shomali,1,1080000000
120,1385,2, Saadat Abad,1,1600000000
134,1397,2, Kamraniyeh,1,2300000000
89,1399,2, Vahidiyeh,5,660000000
131,1382,2, Shahrak-e Gharb,0,30785000000
112,1402,2, Sadeghiyeh,10,25760000000
74,1382,2, Jannat Abad Jonubi,4,700000000
100,1402,2, Daryacheh Shahidaye Khalij-e Fars,15,2200000000
151,1388,3, Daroos,5,20450000000
100,1402,2, Daryacheh Shahidaye Khalij-e Fars,8,2600000000
277,1391,4, Daroos,3,34000000000
118,1402,2, Qeytarieh,5,29000000000
95,1370,2, Salsabil,0,4700000000
97,1395,2, Ekhtiyariyeh,3,1.31E+11
180,1388,3, Elahiyeh,5,23000000000
111,1387,2, Ekhtiyariyeh,1,13000000000
217,1402,3, Pasdaran,1,34600000000
108,1380,2, Zaferanieh,3,18500000000
65,1386,2, Shahrak-e Kianshahr,0,2200000000
183,1401,3, Heravi,7,19800000000
136,1398,3, Pasdaran,4,16700000000
140,1400,3, Abazar,5,18500000000
53,1395,1, 13th Aban,0,25200000000
135,1399,2, Azgol,9,2.295E+11
110,1394,2, Taxirani,0,10000000000
106,1396,2, JorDan,3,1.435E+11
162,1402,3, Atabak,0,26950000000
125,1387,2, Elahiyeh,3,18500000000
310,1402,4, Elahiyeh,6,9.3E+11
41,1380,1, Jey,3,2.4E+11
165,1402,3, Kuy-e Ferdows,4,18500000000
125,1402,2, Abshar Tehran,22,3400000000
84,1397,2, Jannat Abad Shomali,5,9590000000
65,1398,1, Shahran Jonubi,8,64000000000
175,1397,3, Heravi,2,27000000000
60,1386,1, Falah,1,20700000000
86,1390,2, Sazman-e Barnameh,2,82000000000
60,1392,1, Daroos,1,99500000000
78,1386,2, Sazman-e Barnameh,1,68800000000
240,1402,3, Zaferanieh,2,67000000000
51,1395,1, Molavi,1,20000000000
78,1399,2, Molavi,4,2.49E+11
53,1400,1, Saadat Abad,3,12000000000
90,1382,2, Shahrak-e Naft (Mantaghe 5),2,85000000000
88,1395,2, Jannat Abad Jonubi,5,92000000000
115,1397,2, Setareh Khan,4,12300000000
137,1402,2, Niru Havaii,0,1.233E+11
101,1386,2, Jannat Abad Markazi,2,9.3E+11
114,1401,2, Haft Hoz,4,1.37E+11
80,1379,2, Sazman-e Barnameh,5,81800000000
