Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Model,Price
36,Tesla,2004,3.2,Petrol,Manual,171840,Like New,Model 3,29822.3
37,Honda,2014,2.3,Diesel,Manual,25395,New,Fit,76380.32
38,BMW,2021,3.2,Diesel,Automatic,282346,New,5 Series,40155.51
39,BMW,2014,4.6,Hybrid,Manual,229707,Like New,X3,21471.98
40,Tesla,2001,1,Diesel,Manual,247181,New,Model X,14346.62
41,Mercedes,2000,3.9,Petrol,Manual,204120,New,E-Class,36094.75
42,Mercedes,2022,4.1,Electric,Manual,224839,New,GLA,17932.96
43,Tesla,2022,4.2,Diesel,Automatic,219882,Like New,Model Y,19855.49
44,Mercedes,2010,2.2,Diesel,Automatic,103235,Used,C-Class,69968.98
45,Ford,2009,4.6,Hybrid,Manual,45510,Like New,Explorer,6874.55
46,BMW,2017,1.5,Hybrid,Automatic,87945,Like New,5 Series,16167.56
47,Tesla,2017,2,Diesel,Manual,242802,New,Model S,85214.72
48,BMW,2016,5.4,Petrol,Automatic,250168,New,X5,85266.84
49,Toyota,2007,4.7,Petrol,Automatic,2881,Used,Prius,36278.13
50,Ford,2014,1.1,Electric,Automatic,111860,Used,Explorer,13355.54
51,Audi,2007,2.2,Diesel,Automatic,166415,Used,Q5,71972.18
52,Ford,2016,2.1,Hybrid,Automatic,139728,Used,Mustang,39212.51
53,Tesla,2011,2.4,Petrol,Manual,267885,Like New,Model S,9319.14
54,Audi,2007,2.2,Electric,Automatic,147733,Used,A4,19993.56
55,Toyota,2013,1.3,Diesel,Manual,290834,Like New,Camry,18035.41
56,Tesla,2003,3.3,Petrol,Manual,294977,New,Model S,60966.05
57,Honda,2000,4.7,Diesel,Automatic,102566,Used,CR-V,90321.17
58,BMW,2000,4,Diesel,Manual,71240,New,5 Series,80341.84
59,Toyota,2018,4.4,Petrol,Automatic,106898,New,Prius,56919.02
60,BMW,2015,1.4,Petrol,Manual,209304,Like New,3 Series,45104.74
61,Mercedes,2013,5.8,Petrol,Manual,80522,Used,GLC,63774.29
62,Honda,2020,5.2,Diesel,Automatic,145512,Like New,Accord,47162.21
63,Honda,2015,5,Diesel,Automatic,119107,New,CR-V,28379.42
64,Toyota,2004,5.1,Electric,Automatic,22462,Used,Camry,69523.76
65,Honda,2008,5.7,Hybrid,Automatic,279965,New,Fit,87958.17
66,Audi,2001,3.7,Diesel,Manual,92889,New,A4,40422.68
67,Honda,2017,2,Hybrid,Automatic,88952,Used,CR-V,84946.15
68,BMW,2005,4.1,Petrol,Manual,193596,Used,X3,45952.79
69,BMW,2008,4.7,Diesel,Manual,177505,Used,5 Series,43126.91
70,Tesla,2000,4.7,Electric,Manual,221576,Like New,Model X,7690.81
71,BMW,2008,3.6,Electric,Manual,219393,Like New,5 Series,71051.5
72,Tesla,2015,1.3,Hybrid,Manual,275455,New,Model S,81712.74
73,BMW,2012,2.9,Petrol,Manual,254084,Used,X5,68037.91
74,Audi,2008,5.6,Hybrid,Automatic,129466,New,A3,19379.29
75,Tesla,2020,3.9,Petrol,Manual,30531,New,Model S,14812.88
76,Ford,2012,3.7,Electric,Manual,14588,New,Fiesta,59421.58
77,Mercedes,2008,2.3,Hybrid,Manual,143452,New,GLC,43144.04
78,Toyota,2010,2.8,Electric,Automatic,173717,New,RAV4,45764.29
79,BMW,2003,5.5,Electric,Automatic,161929,Used,X5,96941.02
80,Honda,2001,4.3,Petrol,Manual,21711,Like New,Fit,73772.65
81,BMW,2005,4.9,Hybrid,Automatic,136169,Used,5 Series,44119.84
82,Honda,2013,3.3,Hybrid,Manual,159465,Used,CR-V,6814.43
83,Mercedes,2003,4.2,Electric,Automatic,284220,Used,GLC,8239.09
84,Mercedes,2005,2.2,Electric,Manual,160389,Like New,E-Class,70056.35
85,Mercedes,2018,4.5,Petrol,Automatic,58480,Like New,GLC,84585.18
86,Honda,2005,3.1,Diesel,Automatic,269188,Like New,Fit,72231.75
87,BMW,2001,3.2,Diesel,Automatic,250309,Used,X3,43559.34
88,Mercedes,2017,4.2,Electric,Manual,55486,Like New,C-Class,7957.9
89,Audi,2012,5.7,Diesel,Manual,55162,New,A3,96903.15
90,Tesla,2008,1.3,Diesel,Manual,210359,Like New,Model S,98701.93
91,Honda,2022,5.1,Diesel,Automatic,29882,Used,CR-V,57189.63
92,Honda,2018,2.5,Diesel,Automatic,54078,Used,CR-V,11713.74
93,BMW,2012,3.2,Electric,Manual,238680,New,3 Series,56392.39
94,Honda,2010,1.1,Diesel,Automatic,108730,Like New,CR-V,89772.15
95,Honda,2000,2.5,Diesel,Manual,174898,Like New,Fit,69598.62
96,Mercedes,2023,3.5,Petrol,Manual,98938,New,C-Class,73398.98
97,BMW,2021,1.3,Electric,Manual,118319,Used,5 Series,13072.13
98,Mercedes,2006,3.5,Hybrid,Manual,32543,Used,E-Class,15118.61
99,Tesla,2020,5.6,Hybrid,Automatic,124279,Like New,Model 3,17098.13
100,Tesla,2014,1.5,Petrol,Automatic,29362,Like New,Model 3,90915.8
101,Mercedes,2000,4.8,Petrol,Automatic,158818,Like New,GLA,54955.72
102,Tesla,2011,3,Electric,Manual,242721,Like New,Model S,80199.63
103,BMW,2006,4.3,Hybrid,Automatic,165229,Like New,X5,15952.67
104,Toyota,2014,2.3,Diesel,Manual,142394,Used,Camry,93126.06
105,Mercedes,2020,1.8,Petrol,Manual,69812,Used,GLC,83008.5
106,Audi,2018,1.8,Hybrid,Manual,296161,Used,A4,26352.59
107,Audi,2000,1.4,Electric,Manual,228208,Used,Q7,88047.31
108,Honda,2016,1.9,Diesel,Manual,279773,New,Accord,30027.06
109,Tesla,2016,4.3,Electric,Manual,128614,Used,Model 3,24507.29
110,Audi,2002,5.4,Petrol,Automatic,96950,New,Q5,30103.17
111,Honda,2011,5.1,Hybrid,Automatic,174942,Used,Accord,91445.73
112,Toyota,2005,4.4,Hybrid,Automatic,64829,Like New,Camry,91981.24
113,BMW,2010,1.6,Hybrid,Automatic,245602,Like New,X5,36254.6
114,BMW,2002,2.4,Hybrid,Manual,10588,Like New,3 Series,72016.25
115,BMW,2007,2.5,Diesel,Manual,168217,New,5 Series,69195.8
116,Audi,2013,2.2,Diesel,Automatic,272743,Used,A3,81623.45
117,Toyota,2013,3.6,Electric,Automatic,208502,Used,Camry,33168.4
118,Audi,2009,3.7,Diesel,Automatic,134011,New,Q5,53463.16
119,Tesla,2001,2.8,Petrol,Automatic,252856,New,Model 3,68429.03
120,Audi,2013,2.8,Petrol,Automatic,284293,New,Q5,7494.4
121,Toyota,2008,5.1,Hybrid,Automatic,197639,New,Camry,40790.18
122,Toyota,2002,4.9,Petrol,Automatic,141280,New,Prius,71109.39
123,Tesla,2020,2.5,Electric,Automatic,197170,Like New,Model S,28996.53
124,Toyota,2007,5.6,Diesel,Manual,180564,Used,Corolla,95981.89
125,Toyota,2015,5.8,Diesel,Manual,20951,New,Corolla,7865.33
126,BMW,2001,2.6,Diesel,Manual,179992,Like New,X3,96018.28
127,Tesla,2005,2.8,Petrol,Manual,46766,New,Model X,25592.57
128,Ford,2020,3.5,Diesel,Automatic,159423,Like New,Mustang,9638.09
129,Ford,2011,5.7,Hybrid,Manual,87122,New,Explorer,32785.03
130,Toyota,2004,5.4,Hybrid,Automatic,271452,Used,Corolla,79696.82
131,Ford,2001,1.5,Hybrid,Manual,83211,New,Explorer,76481.99
132,Ford,2015,3,Petrol,Automatic,126534,New,Focus,24839.84
133,Toyota,2004,3.8,Diesel,Automatic,8720,Used,RAV4,23695.06
134,Ford,2014,3.5,Petrol,Manual,79993,Used,Focus,66045.09
135,Audi,2011,2,Diesel,Manual,219973,New,Q5,48517.86
136,Honda,2003,5.3,Electric,Automatic,25905,Used,Accord,80267.55
137,Tesla,2014,4.4,Electric,Automatic,204580,Used,Model 3,7292.61
138,Honda,2010,5.2,Petrol,Automatic,50385,Like New,Accord,62989.13
139,Toyota,2015,5.3,Hybrid,Manual,30653,Used,Corolla,74413.84
140,BMW,2022,4.7,Petrol,Manual,91865,Used,3 Series,99371.68
141,Tesla,2005,3.2,Hybrid,Automatic,125813,New,Model 3,69484.26
142,Toyota,2013,4.1,Diesel,Manual,145871,New,Prius,27025.29
143,BMW,2017,1.8,Hybrid,Automatic,191175,Like New,5 Series,15277.69
144,Honda,2011,4.4,Hybrid,Manual,248535,New,Fit,65887.09
145,Toyota,2010,1.9,Diesel,Manual,15052,Used,Camry,54702.39
146,Tesla,2012,4.5,Electric,Manual,137116,Used,Model Y,90418.8
147,Tesla,2020,2.1,Diesel,Manual,150943,Used,Model 3,74027.76
148,Mercedes,2022,1.6,Petrol,Manual,220375,New,E-Class,53425.53
149,Audi,2010,1.8,Petrol,Automatic,21381,Used,Q7,43341
150,Ford,2022,1,Petrol,Automatic,148346,Used,Focus,43415.6
151,BMW,2015,4.6,Petrol,Manual,243234,Like New,3 Series,26498.91
152,Mercedes,2014,4.7,Petrol,Automatic,256017,Like New,GLA,6645.97
153,Ford,2020,3.6,Electric,Automatic,235020,Like New,Mustang,59616.51
154,Ford,2014,1.8,Electric,Manual,49892,New,Mustang,25179.4
155,Toyota,2003,1.4,Hybrid,Automatic,181593,Used,Camry,24791.06
156,Ford,2010,1.1,Petrol,Manual,214992,Used,Mustang,16911.22
157,Audi,2018,1.8,Diesel,Automatic,280064,Used,A3,23011.57
158,Tesla,2014,5.5,Petrol,Automatic,278846,Like New,Model 3,8019.97
159,Mercedes,2003,2.2,Electric,Automatic,256216,Used,C-Class,69051.99
160,Ford,2020,2.8,Petrol,Automatic,264038,Used,Fiesta,43132.73
161,Toyota,2012,1.5,Electric,Automatic,293129,Used,Camry,58344.84
162,Audi,2021,2.1,Hybrid,Automatic,159359,Used,A4,65510.97
163,Honda,2018,3.6,Hybrid,Automatic,258771,Used,Civic,97386.03
164,Tesla,2001,4,Hybrid,Manual,125702,New,Model Y,11485.26
165,Tesla,2013,2.2,Electric,Manual,73527,Used,Model 3,44702.18
166,Mercedes,2003,1.3,Petrol,Manual,146511,New,E-Class,28360.3
167,Tesla,2015,3,Petrol,Manual,225692,Used,Model Y,50287.63
168,Ford,2020,2.2,Diesel,Automatic,158731,New,Explorer,92444.87
169,Toyota,2019,2.1,Electric,Automatic,287120,Used,Corolla,73778.51
170,Tesla,2013,5.8,Diesel,Automatic,235311,Used,Model Y,67885.21
171,Tesla,2014,4.1,Hybrid,Manual,198937,Used,Model S,46918.36
172,Honda,2002,3.8,Petrol,Manual,199378,Used,CR-V,68755.69
173,Honda,2007,3.1,Electric,Manual,56697,Like New,CR-V,8075.66
174,BMW,2015,3.1,Diesel,Automatic,70382,Used,X3,60692.67
175,Audi,2009,3.7,Diesel,Manual,278795,New,A3,57608.77
176,Ford,2003,4.5,Diesel,Automatic,180116,Like New,Fiesta,37930.84
177,Tesla,2017,4.5,Petrol,Manual,14633,Like New,Model 3,24143.84
178,Tesla,2001,1.9,Petrol,Automatic,79164,Used,Model S,81717.78
179,Toyota,2016,3.5,Petrol,Manual,262713,New,Prius,10116.9
180,BMW,2012,3.1,Electric,Automatic,123425,New,X5,11618.92
181,Audi,2003,5.4,Petrol,Manual,250220,Like New,Q7,46849.57
182,BMW,2010,4.2,Electric,Manual,295182,New,5 Series,28992.68
183,Mercedes,2006,3.7,Diesel,Automatic,180160,Used,GLA,75817.98
184,Audi,2011,1.6,Diesel,Automatic,204249,Used,Q7,65248.06
185,Tesla,2009,4,Hybrid,Manual,205538,Used,Model Y,78390.81
186,Tesla,2006,1.6,Petrol,Automatic,197865,Used,Model X,35844.5
187,Audi,2012,2.7,Diesel,Manual,201466,Used,A4,75349.3
188,Tesla,2006,1.7,Petrol,Automatic,187223,Like New,Model Y,86918.81
189,Ford,2023,4.5,Electric,Manual,111174,Used,Fiesta,37801.08
190,Audi,2016,2,Diesel,Automatic,137980,Used,Q5,37290.1
191,BMW,2009,3,Petrol,Manual,68447,Like New,X3,90495.38
192,Audi,2009,5.5,Diesel,Manual,205599,Like New,Q5,9730.07
193,Tesla,2023,2,Diesel,Manual,226301,Like New,Model X,38267.99
194,Ford,2003,3.5,Petrol,Automatic,279778,New,Fiesta,16273.89
195,Ford,2019,3.1,Diesel,Manual,286705,New,Fiesta,7753.16
196,Mercedes,2003,1.1,Diesel,Automatic,55063,Used,GLA,15722.59
197,BMW,2021,5,Diesel,Automatic,288065,Used,X3,45968.35
198,Honda,2006,1.3,Diesel,Automatic,19340,Used,Accord,70260.83
199,Honda,2021,3.4,Electric,Manual,62781,New,CR-V,32481.83
200,Audi,2000,3.8,Diesel,Automatic,277045,Used,Q5,85719.15
201,Mercedes,2011,4.1,Hybrid,Automatic,10638,Used,GLA,46573.48
202,Toyota,2023,4.4,Diesel,Automatic,217986,New,Prius,96981.66
203,Audi,2012,2.3,Petrol,Manual,221668,Like New,A3,95644.79
204,Mercedes,2009,1,Hybrid,Automatic,294786,New,GLC,78461.24
205,BMW,2014,4.6,Electric,Automatic,25378,Used,3 Series,93578.52
206,BMW,2012,3.7,Hybrid,Automatic,118171,New,X3,72174.13
207,BMW,2022,5.2,Hybrid,Automatic,214801,Like New,X3,90080.4
208,BMW,2021,5.1,Hybrid,Manual,64377,Like New,3 Series,27465
209,BMW,2021,5.2,Petrol,Manual,260339,Like New,X5,37814.92
210,Mercedes,2020,3.4,Petrol,Automatic,54691,Like New,C-Class,76528.36
211,Mercedes,2021,2.7,Petrol,Automatic,91782,Like New,E-Class,45333.32
212,Ford,2008,5,Electric,Automatic,259896,Like New,Focus,84546.11
213,Honda,2008,3.3,Petrol,Automatic,78343,Used,Fit,88375.69
214,Tesla,2014,1.9,Petrol,Manual,121399,Used,Model S,33474.3
215,BMW,2009,5.3,Hybrid,Manual,31357,New,5 Series,83227.83
216,Toyota,2023,5.4,Petrol,Manual,294458,Used,Corolla,19655.11
217,Tesla,2009,3.3,Diesel,Manual,70283,Like New,Model Y,36748.69
218,Mercedes,2007,1.4,Petrol,Automatic,59567,Used,C-Class,54206.67
219,Toyota,2023,2.9,Electric,Automatic,237778,New,Prius,26512.16
220,Toyota,2015,5,Electric,Manual,141758,Like New,Prius,60030.44
221,Toyota,2016,5.5,Diesel,Manual,61606,Used,RAV4,59976.03
222,Ford,2004,2,Electric,Automatic,281035,Used,Fiesta,24655.78
223,Mercedes,2003,1.3,Electric,Automatic,101732,New,GLA,80585.93
224,Toyota,2017,5.4,Hybrid,Automatic,191791,Like New,RAV4,65006.23
225,BMW,2023,2.9,Diesel,Automatic,292021,New,X3,35187.25
226,Audi,2018,3.7,Hybrid,Automatic,249465,Like New,A4,27057.55
227,Toyota,2003,5.8,Hybrid,Manual,224589,Like New,Corolla,88481.26
228,Ford,2006,1.3,Petrol,Manual,14026,Used,Fiesta,84395.51
229,Tesla,2009,4.2,Diesel,Automatic,282566,New,Model Y,26827.26
230,Mercedes,2017,1.4,Petrol,Automatic,295625,New,GLC,8382.5
231,Ford,2018,2.9,Petrol,Manual,109384,New,Explorer,81430.6
232,Toyota,2003,5,Hybrid,Automatic,252771,Like New,Corolla,63473.31
233,Mercedes,2009,3.2,Electric,Manual,58031,New,C-Class,14583.79
234,Audi,2000,6,Diesel,Manual,68232,Like New,A3,60799.03
235,Toyota,2022,3.8,Electric,Manual,143084,New,Camry,47957.36
236,Ford,2017,2.6,Hybrid,Manual,236503,New,Focus,78582.28
237,Honda,2004,2.1,Hybrid,Automatic,292104,Used,Fit,24863.06
238,BMW,2014,2.8,Hybrid,Automatic,87695,New,X3,48049.89
239,Tesla,2016,2.9,Hybrid,Manual,130066,Used,Model X,19843.19
240,Ford,2002,1.3,Hybrid,Automatic,138982,Used,Fiesta,95965.09
241,Mercedes,2011,2.8,Hybrid,Automatic,264837,Like New,GLA,78980.12
242,Toyota,2001,3.3,Electric,Automatic,115313,New,Corolla,74988.63
243,BMW,2000,4.6,Petrol,Automatic,28810,New,3 Series,70569.63
244,Toyota,2022,4.3,Electric,Manual,20092,New,Prius,45216.96
245,Mercedes,2020,4.5,Diesel,Automatic,58105,Used,C-Class,92711.83
246,Toyota,2016,1,Electric,Manual,161577,New,RAV4,11927.12
247,Honda,2021,2.1,Hybrid,Manual,204300,Like New,Civic,81309.61
248,BMW,2015,4.3,Electric,Automatic,290699,Like New,3 Series,25447.11
249,BMW,2004,3.4,Petrol,Manual,71934,New,X3,35782.66
250,Mercedes,2014,1,Diesel,Automatic,72788,Used,GLA,54345.82
251,Tesla,2002,5,Electric,Automatic,280083,Like New,Model S,79352.23
252,Honda,2006,4.9,Petrol,Manual,155223,Like New,CR-V,84660.82
253,Ford,2010,3.7,Electric,Automatic,128068,Used,Explorer,60454.56
254,Toyota,2009,1.3,Diesel,Manual,36,Like New,Camry,43288.37
255,Audi,2008,4.8,Electric,Manual,39051,Used,Q5,94917.73
256,Toyota,2013,3.9,Hybrid,Automatic,80738,Like New,Camry,28419.52
257,Toyota,2012,4.9,Electric,Automatic,60071,Used,Camry,81293.98
258,Ford,2001,4.8,Petrol,Automatic,130613,Like New,Focus,63144.71
259,Toyota,2002,5,Electric,Manual,73601,New,Camry,40805.03
260,Honda,2006,3.6,Petrol,Automatic,29873,Like New,Civic,5129.96
261,Honda,2020,1.7,Diesel,Manual,167720,Like New,Fit,47426.93
262,BMW,2017,4.4,Electric,Manual,71468,New,X3,31288.4
263,Mercedes,2002,4.1,Diesel,Automatic,288614,New,E-Class,14912.93
264,Tesla,2009,4.7,Diesel,Automatic,196201,New,Model 3,12140.06
265,Audi,2021,1.8,Electric,Automatic,8328,New,A3,38018.04
266,Toyota,2006,2,Petrol,Manual,137405,Used,Camry,63401.95
267,Toyota,2008,5.5,Diesel,Automatic,251519,Used,Prius,84564.33
268,Ford,2016,4.7,Diesel,Manual,121173,Like New,Focus,22438.51
269,Mercedes,2010,5.5,Electric,Automatic,46638,Like New,GLC,45341.18
270,Honda,2006,4.8,Electric,Automatic,273412,Like New,Accord,42235.83
271,Audi,2023,4,Electric,Manual,201675,Used,A4,53772.43
272,BMW,2013,4.3,Electric,Manual,113920,Like New,5 Series,81910.79
273,Honda,2018,5.4,Electric,Automatic,171813,Like New,CR-V,57596.3
274,Mercedes,2003,3.9,Hybrid,Automatic,7887,Used,E-Class,85432.22
275,Tesla,2005,4.2,Electric,Automatic,228978,Like New,Model S,54262.42
276,BMW,2009,1.8,Petrol,Automatic,24918,Used,5 Series,62365.5
277,Tesla,2006,3.4,Diesel,Automatic,297641,Used,Model X,46551.41
278,Ford,2012,4.6,Petrol,Manual,192081,New,Fiesta,83194.08
279,Ford,2013,2.4,Petrol,Manual,274073,New,Explorer,92763.58
280,Toyota,2003,2,Hybrid,Manual,102201,Used,Corolla,65718.75
281,Tesla,2007,2.6,Electric,Manual,210171,Used,Model X,82974.33
282,Mercedes,2004,2.2,Diesel,Automatic,290690,New,E-Class,10605.32
283,Audi,2000,2.1,Petrol,Manual,209496,Like New,Q7,91080.62
284,BMW,2003,3.1,Electric,Manual,168410,Like New,5 Series,22947.88
285,Honda,2002,5.5,Electric,Manual,82494,Like New,CR-V,29369.44
286,Mercedes,2008,3.5,Hybrid,Automatic,215859,Used,GLA,10066.36
287,Mercedes,2007,1.9,Hybrid,Manual,233853,New,GLA,96713.01
288,Ford,2000,1.4,Hybrid,Automatic,128279,Like New,Fiesta,85941.03
289,Tesla,2005,4.5,Diesel,Manual,81991,New,Model S,91752.54
290,Toyota,2008,2.9,Petrol,Automatic,290157,New,Camry,85485.54
291,Toyota,2006,5.1,Hybrid,Manual,52132,Used,Camry,50555.4
292,BMW,2003,4.3,Hybrid,Automatic,255069,Like New,3 Series,92787.78
293,Ford,2012,5,Hybrid,Manual,159156,New,Explorer,97099.92
294,Mercedes,2016,2.4,Petrol,Automatic,152215,Used,E-Class,52743.86
295,Audi,2001,4.5,Petrol,Automatic,91627,Used,A4,21684.35
296,Ford,2004,2.3,Hybrid,Manual,122772,Used,Focus,67569.14
297,BMW,2011,5.7,Hybrid,Automatic,229415,Like New,5 Series,97666.64
298,BMW,2020,4.2,Electric,Automatic,141294,Like New,X5,87853.95
299,Ford,2007,2.6,Hybrid,Manual,259013,Used,Focus,86872.44
300,BMW,2005,2.3,Diesel,Manual,16116,Like New,5 Series,93712.71
301,Ford,2007,2,Diesel,Automatic,182124,Like New,Mustang,89925.46
302,Honda,2017,4.5,Hybrid,Manual,51369,New,Accord,78746.76
303,Ford,2002,2.1,Petrol,Manual,179889,Used,Explorer,73235.92
304,Tesla,2021,4,Electric,Manual,233982,Used,Model 3,30152.88
305,Ford,2011,2.3,Petrol,Automatic,214275,Like New,Explorer,64027.3
306,BMW,2002,4.3,Hybrid,Automatic,205383,Used,X3,54541.42
307,Tesla,2021,5.1,Diesel,Automatic,291799,Used,Model Y,86884.69
308,BMW,2005,4.9,Electric,Automatic,188874,Used,X5,51712.69
309,Toyota,2001,4.8,Petrol,Automatic,47632,Like New,Prius,17135.56
310,Toyota,2022,1.9,Petrol,Automatic,211284,Like New,Prius,5472.39
311,Tesla,2011,1.4,Hybrid,Automatic,161848,Like New,Model S,69397.95
312,Honda,2001,4.5,Electric,Manual,191082,New,Civic,57241.3
313,Toyota,2005,2.8,Diesel,Automatic,213807,Used,RAV4,36441.48
314,Ford,2016,3.2,Hybrid,Automatic,196523,New,Focus,21052.35
315,BMW,2002,1.2,Electric,Manual,179884,Like New,5 Series,49337.96
316,Toyota,2001,2.3,Petrol,Manual,281039,New,Corolla,14527.21
317,Toyota,2022,1.2,Hybrid,Manual,235892,Used,Corolla,36930.31
318,Honda,2019,5.4,Petrol,Automatic,213408,Used,Fit,41025.13
319,Tesla,2007,2.2,Petrol,Manual,242718,Like New,Model X,49233.78
320,Tesla,2021,3.8,Hybrid,Automatic,192879,Like New,Model X,49328.97
321,Mercedes,2011,1.2,Hybrid,Automatic,23086,New,C-Class,29415.54
322,Honda,2003,4.3,Hybrid,Automatic,85637,Like New,Fit,85770.04
323,Ford,2004,2.6,Hybrid,Manual,158279,New,Fiesta,38776.63
324,Tesla,2012,5.5,Hybrid,Manual,151969,Used,Model S,26810.79
325,BMW,2014,5.4,Petrol,Automatic,63083,Used,X3,21701.94
326,Honda,2022,2.6,Diesel,Automatic,95028,Used,Accord,35644.95
327,Toyota,2015,5.5,Diesel,Automatic,97551,Used,RAV4,11417.52
328,BMW,2009,6,Hybrid,Manual,138355,Used,5 Series,8126.21
329,BMW,2022,5.1,Petrol,Automatic,94024,New,5 Series,62488.51
330,Toyota,2015,5.2,Diesel,Manual,262399,Used,RAV4,63818.98
331,Honda,2011,2.2,Diesel,Automatic,207627,New,Civic,55310.88
332,Toyota,2016,3.9,Diesel,Manual,15487,Used,Corolla,77417.09
333,Mercedes,2015,1.3,Petrol,Automatic,19346,New,GLC,8719.3
334,BMW,2011,1.5,Hybrid,Manual,297194,New,5 Series,93917.45
335,Audi,2007,6,Hybrid,Manual,270888,New,Q7,14031.19
336,Audi,2019,2.6,Hybrid,Manual,61596,Like New,A4,69032.18
337,Ford,2002,4.7,Electric,Manual,214469,New,Mustang,17672.68
338,Tesla,2015,5,Electric,Manual,177175,New,Model Y,88591.02
339,Toyota,2012,5.3,Electric,Manual,153048,Used,Prius,53517.76
340,Toyota,2022,6,Petrol,Automatic,6277,New,RAV4,12817.89
341,Ford,2018,2.2,Diesel,Automatic,133332,New,Fiesta,63588.79
342,Ford,2007,1.2,Diesel,Automatic,240515,Like New,Fiesta,5865.44
343,Ford,2021,3.1,Petrol,Automatic,260577,Used,Mustang,78722.11
344,BMW,2004,1.7,Petrol,Manual,196955,Like New,X5,66805.57
345,Mercedes,2019,1.1,Hybrid,Automatic,286885,Like New,E-Class,25199.35
346,Toyota,2007,2.8,Hybrid,Manual,299355,Like New,Camry,40601.34
347,BMW,2023,4.9,Electric,Manual,240464,New,X5,5741.64
348,Ford,2011,3.8,Electric,Manual,258445,Like New,Focus,70899.96
349,Toyota,2000,2.6,Petrol,Automatic,269013,Like New,Corolla,35653.47
350,BMW,2020,4.3,Electric,Manual,94515,Used,3 Series,59300.95
351,Mercedes,2019,2.2,Diesel,Automatic,150494,Used,GLC,95889.12
352,BMW,2005,1.1,Petrol,Automatic,166685,Used,X5,33449.34
353,Mercedes,2021,4.8,Petrol,Automatic,188088,Used,C-Class,99072.6
354,Ford,2017,4.1,Diesel,Automatic,60110,Like New,Focus,65109.2
355,Mercedes,2007,4.8,Hybrid,Automatic,219601,Used,GLA,27998.42
356,Toyota,2006,1.2,Hybrid,Manual,208994,New,Camry,46493.9
357,Ford,2000,5.2,Diesel,Manual,296177,Like New,Mustang,75343.05
358,Toyota,2020,4.1,Diesel,Automatic,260705,Used,RAV4,47415.4
359,Audi,2015,3.8,Electric,Manual,12938,Like New,A4,11508.22
360,Honda,2011,4.1,Petrol,Automatic,130842,Used,Accord,21017.35
361,Mercedes,2005,5.3,Electric,Manual,264418,Like New,C-Class,80173.29
362,Honda,2019,3.9,Diesel,Manual,150033,Used,Civic,66595.44
363,Honda,2001,3.9,Electric,Manual,20044,New,Accord,59133.42
364,Mercedes,2013,6,Diesel,Manual,99372,Used,E-Class,20924.09
